File Name,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
58.txt,0.012857143,0.341428571,22.8,15.78947368,12.29,22.8,36,228,1.666666667,4,5.894736842
59.txt,0.24,0.26,27.2,16.17647059,12.46,27.2,22,136,1.639705882,4,5.897058824
6.txt,0.056818182,0.311477273,11.79310345,28.3625731,10.83,11.79310345,97,342,1.956140351,3,6.766081871
60.txt,0.12,0.2,21.44444444,17.61658031,12.47,21.44444444,34,193,1.704663212,4,5.906735751
61.txt,0.046022727,0.315909091,27.375,17.35159817,13.9,27.375,38,219,1.657534247,5,5.771689498
62.txt,0.2375,0.2625,29.8,18.12080537,13.58,29.8,27,149,1.704697987,4,6.322147651
63.txt,0.014285714,0.292142857,17.76923077,17.31601732,11.95,17.76923077,40,231,1.727272727,6,6
64.txt,0.170521542,0.399773243,20.78947368,11.39240506,10.97,20.78947368,45,395,1.513924051,16,5.430379747
65.txt,0.125833333,0.461666667,20.95238095,17.04545455,11.83,20.95238095,75,440,1.652272727,22,5.838636364
66.txt,0.127489177,0.520085307,23.4,10.47008547,12.02,23.4,49,468,1.555555556,27,5.344017094
67.txt,0.008333333,0.468939394,21.20833333,12.57367387,10.4,21.20833333,64,509,1.563850688,16,5.168958743
68.txt,0.135076531,0.412329932,20.73684211,12.43654822,10.95,20.73684211,49,394,1.616751269,19,5.847715736
69.txt,0.114673913,0.41552795,27.25,18.34862385,14.33,27.25,60,327,1.685015291,18,6.027522936
7.txt,0.016798419,0.294400527,15.6,25.38461538,11.44,15.6,99,390,1.874358974,2,6.333333333
70.txt,0.141522367,0.370526696,22.83783784,21.77514793,13.43,22.83783784,184,845,1.775147929,17,5.938461538
71.txt,0.032366071,0.62983631,34.61538462,14,14.96,34.61538462,63,450,1.548888889,9,5.26
72.txt,0.084337662,0.326095238,20.16666667,19.83471074,13.01,20.16666667,72,363,1.743801653,13,5.848484848
73.txt,0.142224627,0.455634921,75.33333333,13.71681416,13.38,75.33333333,31,226,1.477876106,4,5.066371681
74.txt,0.1595671,0.419906205,31.35714286,17.76765376,15.39,31.35714286,78,439,1.608200456,3,5.177676538
75.txt,0.131887755,0.246513605,28.35714286,16.37279597,12.55,28.35714286,65,397,1.675062972,9,5.506297229
76.txt,0.157057823,0.474234694,31.09090909,15.78947368,14.5,31.09090909,54,342,1.602339181,10,5.584795322
77.txt,0.044387302,0.504247619,24.33333333,19.8630137,13.57,24.33333333,58,292,1.787671233,11,5.832191781
78.txt,0.02979798,0.258585859,24.625,11.4213198,11.78,24.625,45,394,1.497461929,16,5.26142132
79.txt,0.09314059,0.361904762,64.75,15.63706564,18.65,64.75,81,518,1.596525097,3,5.613899614
8.txt,0.015446128,0.31043771,18.15384615,18.6440678,11.3,18.15384615,88,472,1.769067797,3,6.347457627
80.txt,0.051399614,0.375804376,27.05882353,16.95652174,15.14,27.05882353,78,460,1.636956522,6,5.395652174
81.txt,0.117857143,0.341071429,57,16.66666667,28.01,57,38,228,1.671052632,8,5.833333333
82.txt,0.049122807,0.307017544,17.88888889,15.52795031,12.58,17.88888889,50,322,1.580745342,2,5.52173913
83.txt,0.119230769,0.365705128,25.92307692,12.75964392,13.6,25.92307692,43,337,1.50148368,3,5.442136499
84.txt,-0.033333333,0.2,33,15.53030303,15.92,33,41,264,1.598484848,2,5.617424242
85.txt,-0.019444444,0.197222222,122,14.3442623,51.48,122,35,244,1.5,4,5.004098361
